product_id,mrp,ram,inbuilt_storage,weight,battery_power,battery_type,form_factor,length,width,height,os_name,os_version,phone_warranty (months),camera_count,cam_has_AI,cam_has_OIS,cam_has_Zoom,cam_has_HDR,cam_has_Macro,cam_has_Portrait,main_camera_MP,is_success
B09TWH8YHM,18499,8,128,215,6000,0,5,16.5,7.7,0.9,0,12.0,12,6,0,0,0,0,0,0,50,True
B0B4F38D6K,12999,6,128,207,6000,0,5,16.5,7.7,0.9,0,12.0,12,2,0,0,0,0,0,0,12,True
B0B56YRDDT,7799,4,64,194,5000,1,0,16.5,7.6,0.9,0,12.0,12,4,0,0,0,0,0,0,13,True
B0BZ466BWW,12999,6,128,190,5000,0,7,16.6,7.6,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B0BYN48MQW,8799,4,64,192,5000,1,0,16.9,7.6,0.9,3,13.0,12,2,0,0,0,0,0,0,12,False
B0BMQSF1M4,9499,3,64,189,5000,1,0,16.4,7.6,0.8,0,12.0,12,2,0,0,0,0,0,0,12,False
B0BBH4C5KT,9999,4,64,201,5000,1,0,16.4,7.6,0.9,3,13.0,12,2,0,0,0,0,0,0,12,False
B0BZ48VZMR,10999,4,64,190,5000,0,7,16.6,7.6,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B0BBM7L888,7999,4,64,182,5000,0,7,16.4,7.6,0.9,0,11.0,12,2,0,0,0,0,0,0,12,True
B09WQYFLRX,18999,6,128,195,5000,1,7,16.4,7.6,0.9,4,12.1,12,2,0,0,0,0,0,0,12,True
B0BMGB2TPR,8499,4,64,188,5000,0,0,16.4,7.6,0.9,0,12.0,12,2,0,0,0,0,0,0,12,True
B0BZCSNTT4,15990,6,256,206,6000,0,0,16.7,7.7,0.9,0,13.0,12,2,0,0,0,0,0,0,12,False
B0B4F2TTTS,10999,4,64,207,6000,0,3,5.0,5.0,2.8,0,12.0,12,5,0,0,0,0,0,0,50,True
B0BSTVXFWD,11999,6,128,207,5000,1,0,16.5,7.6,0.9,0,12.0,12,2,0,0,0,0,0,0,12,True
B09ZBF5Y4J,13999,4,64,195,5000,0,0,18.4,9.8,0.65,0,12.0,12,2,0,0,0,0,0,0,12,True
B0BBFJLP21,12999,4,4,200,5000,1,0,16.4,7.6,0.9,3,13.0,12,2,0,0,0,0,0,0,12,True
B0BNC7C9W4,9869,4,64,203,5000,1,0,16.5,7.6,0.9,0,12.0,12,2,0,0,0,0,0,0,12,False
B07WGPKNGT,27999,8,128,193,5000,0,0,16.5,7.7,0.9,1,13.0,12,2,1,1,1,1,1,1,64,True
B0B3CPQ5PF,28999,8,128,190,4500,1,0,15.9,7.3,0.8,4,60.0,12,2,0,0,0,0,0,0,12,True
B07WHSR1NR,13999,6,128,194,5000,0,0,16.4,7.6,0.8,1,12.0,12,2,1,1,1,1,1,1,50,True
B082DSTWZ1,24999,8,256,192,5000,1,0,16.6,7.6,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B0BBN3WF7V,5699,2,32,192,5000,1,0,16.5,7.7,0.9,6,11.0,12,2,0,0,0,0,0,0,12,True
B0BY8JZ22K,19999,8,128,195,5000,1,7,16.6,7.6,0.8,4,60.0,12,2,0,0,0,0,0,0,12,True
B0C14MRRVN,14999,8,256,193,5000,1,8,16.4,7.5,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B0BW5SL3V1,6299,2,64,179,3000,0,8,16.1,7.4,0.9,0,12.0,12,2,0,0,0,0,0,0,12,False
B07WFPMQB1,18999,6,128,173,4500,0,0,15.9,7.4,0.8,1,13.0,12,4,0,0,0,0,0,0,64,True
B0BSNNWX8R,44999,16,256,205,5000,1,7,16.3,7.4,0.9,4,13.0,12,2,0,0,0,0,0,0,12,True
B0BS193NXQ,22999,6,128,197,5000,0,0,16.5,7.7,0.8,0,12.0,12,2,0,0,0,0,0,0,12,False
B0BQ3PYMCZ,18999,128,128,188,5000,1,0,16.6,7.6,0.8,3,13.0,12,2,0,0,0,0,0,0,12,True
B09ZBFD6TJ,21999,6,128,181,5000,0,0,17.5,9.1,0.6900000000000001,0,12.0,12,2,0,0,0,0,0,0,12,True
B09LHX1YFX,18999,8,128,195,5000,1,5,16.4,7.6,0.9,0,11.0,12,2,0,0,0,0,0,0,12,True
B082F2T5PQ,18999,8,128,188,5000,1,0,16.0,7.3,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B0BTLJM8MS,7299,3,64,190,5000,1,8,16.4,7.6,0.9,0,12.0,12,4,1,1,1,1,1,1,12,False
B085J1QWFV,23499,6,128,196,4520,1,0,16.37,7.68,0.78,3,12.5,12,5,1,1,1,1,1,1,12,True
B09G38DT4B,26999,6,128,158,4250,1,4,16.1,7.6,0.7,3,12.5,12,5,1,1,1,1,1,1,64,True
B0BS3RBVSL,27300,8,256,530,5000,1,7,17.7,9.0,0.6799999999999999,0,12.0,0,2,0,0,0,0,0,0,12,False
B0BX9YZNNM,25450,8,128,520,5000,0,7,17.6,8.9,0.67,0,12.0,0,2,0,0,0,0,0,0,12,False
B0BS3S3QXP,23849,6,128,500,5000,1,7,16.1,8.9,0.67,0,12.0,0,2,0,0,0,0,0,0,12,False
B0BX4GMDTG,29490,8,256,680,5000,1,7,18.8,8.8,0.76,0,12.0,0,2,0,0,0,0,0,0,12,False
B0BZWBSNJN,20999,8,256,188,5000,1,0,16.6,7.6,0.8,3,13.0,12,2,0,0,0,0,0,0,12,True
B0BTW4LZ4Y,29750,8,256,728,5000,0,7,16.49,1.524,1.016,0,12.0,0,2,0,0,0,0,0,0,12,False
B0BRVFZSGV,23989,6,128,520,5000,1,7,17.4,9.0,0.67,0,12.0,0,2,0,0,0,0,0,0,12,False
B0BXB1ZSXF,25470,8,128,520,5000,0,7,17.6,9.0,0.67,0,12.0,0,2,0,0,0,0,0,0,12,False
B0BS3RGK3Q,26890,8,256,530,5000,0,7,17.4,9.0,0.67,0,12.0,0,2,0,0,0,0,0,0,12,False
B09FKDH6FS,6499,2,32,182,5000,0,7,16.41,7.56,0.85,0,11.0,12,2,1,1,1,1,1,1,5,True
B0BPGSCPV5,11999,4,64,192,5000,0,0,16.4,7.6,0.9,0,11.0,12,2,0,0,0,0,0,0,12,False
B0BS162BQ3,16499,4,64,202,5000,0,0,16.8,7.8,0.9,0,13.0,12,2,0,0,0,0,0,0,12,False
B08VB57558,34999,8,128,190,4500,0,5,15.98,7.45,0.84,0,11.0,12,5,1,1,1,1,1,1,12,True
B086KCCPBR,30990,8,128,190,4500,0,8,16.0,7.5,0.8,0,10.0,12,2,0,0,0,0,0,0,5,False
B07KXBMFBY,29499,6,128,150,3100,0,8,14.2,7.0,0.8,0,9.0,12,2,0,0,0,0,0,0,12,False
B09XJ36Q27,27999,8,128,176,5000,0,5,16.5,7.7,0.7,0,12.0,12,6,0,0,0,0,0,0,108,True
B09WRMNJ9G,34999,8,128,190,5000,1,7,16.3,7.6,0.8,4,12.1,12,2,0,0,0,0,0,0,12,True
B07KXBVLRW,39490,8,128,175,4100,0,8,15.8,7.4,0.8,0,9.0,12,2,0,0,0,0,0,0,16,True
B07PQ7DLVP,55890,12,256,196,4300,0,8,16.2,7.7,0.8,0,9.0,12,2,0,0,0,0,0,0,10,False
B07CSDCJG8,26999,4,64,163,3000,0,8,14.8,6.9,0.9,0,8.0,12,2,0,0,0,0,0,0,12,False
B07KXCH2FP,31990,8,128,157,3400,0,8,15.0,7.0,0.8,0,9.0,12,2,0,0,0,0,0,0,16,False
B0844592J8,38999,8,128,163,4000,0,8,15.2,6.9,0.8,0,12.0,12,2,0,0,0,0,0,0,10,False
B0C1ZJG98Z,35900,8,128,310,12,1,6,18.0,7.0,0.7,0,12.0,12,2,0,0,0,0,0,0,12,False
B0BYNBW9N4,34999,8,128,177,4500,0,7,15.57,1.55,0.745,0,12.0,0,2,0,0,0,0,0,0,12,False
B0C24CWJ2K,35999,8,128,310,10,1,6,15.0,7.0,0.7,0,12.0,12,2,0,0,0,0,0,0,12,False
B0B4S3283N,41999,8,128,181,5000,0,0,16.4,7.6,0.8,0,12.0,12,2,0,0,0,0,0,0,12,False
B08LRDK2XD,44999,8,128,202,4800,0,5,16.1,7.6,0.8,0,10.0,12,2,0,0,0,0,0,0,12,False
B0BXD5ZZQ5,30999,8,128,198,5000,0,0,16.1,7.8,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B07CTH4JD4,34999,6,64,189,3500,0,8,15.8,7.4,0.9,0,8.0,12,2,0,0,0,0,0,0,8,False
B07WDKLDRX,24999,8,128,190,4700,0,0,16.3,7.6,0.9,1,12.0,12,2,0,0,0,0,0,0,64,True
B07WHSJXLF,24999,8,128,180,4700,0,0,16.0,7.4,0.8,1,12.0,12,5,0,0,0,0,0,0,64,True
B0BQ3MT8P2,18999,6,128,188,5000,1,0,16.6,7.6,0.8,3,13.0,12,2,0,0,0,0,0,0,12,True
B07WHQRCZD,30990,8,128,196,4500,0,0,16.3,7.6,0.8,1,12.0,12,5,1,1,1,1,1,1,48,True
B08697MJFD,39990,8,128,210,4000,0,0,16.2,7.6,0.9,1,11.1,12,5,1,1,1,1,1,1,48,True
B07WFPLSVX,44999,8,128,207,4700,0,0,16.5,7.7,0.8,1,12.0,12,2,0,0,0,0,0,0,50,False
B07WHQLR7G,54999,8,256,205,5000,0,0,16.5,7.7,0.9,1,13.0,12,2,1,1,1,1,1,1,12,False
B0B3CQBRB4,28998,8,128,190,4500,1,0,15.9,7.3,0.8,4,12.1,12,2,0,0,0,0,0,0,50,True
B0BSNQ2KXF,39999,8,128,205,5000,1,7,16.3,7.4,0.9,4,13.0,12,2,0,0,0,0,0,0,12,True
B07WJW747N,12999,4,128,183,5000,0,0,16.4,7.6,0.8,1,12.0,12,2,0,0,0,0,0,0,12,False
B0BX9DZB46,8999,6,128,203,5000,1,2,16.5,7.6,0.9,0,12.0,12,2,0,0,0,0,0,0,12,False
B0BG1PYJR4,11499,4,64,193,5000,0,0,16.4,7.6,0.8,0,11.0,12,2,0,0,0,0,0,0,12,True
B09FKB3446,7999,4,64,195,5000,0,7,16.5,7.6,0.9,0,11.0,12,2,1,1,1,1,1,1,5,True
B0BQ3PJJDQ,16999,4,128,188,5000,1,0,16.6,7.6,0.8,3,13.0,12,2,0,0,0,0,0,0,12,True
B0BMQS9NVT,12499,4,64,189,5000,1,0,16.4,7.6,0.8,0,12.0,12,2,0,0,0,0,0,0,12,False
B09XB8WTXN,44999,8,256,205,4600,1,5,16.4,7.5,0.8,3,13.0,12,2,0,0,0,0,0,0,12,True
B0BVMP4NGL,79999,12,256,229,4820,1,0,16.3,7.5,0.8,3,14.0,12,2,0,0,0,0,0,0,12,False
B0BXCZNH3B,40999,8,256,202,5000,0,0,15.8,7.7,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B09WR4JRTG,27990,6,128,186,5000,0,0,16.0,7.4,0.8,0,12.0,12,2,0,0,0,0,0,0,12,False
B0BXD5H8GR,32999,8,256,198,5000,0,0,16.1,7.8,0.8,0,13.0,12,2,0,0,0,0,0,0,12,False
B07WFPL2FW,25999,8,8,181,4500,0,0,15.9,7.4,0.8,1,12.0,12,2,0,0,0,0,0,0,12,False
B0BS15YYGC,20999,8,128,202,5000,0,0,16.8,7.8,0.9,0,13.0,12,2,0,0,0,0,0,0,12,False
B09GFM8CGS,6499,2,32,194,5000,1,0,16.5,7.7,0.9,3,12.0,12,2,1,1,1,1,1,1,13,True
